LocationID	LocationName	StartDate	EndDate	SPA
2062601	Ooidonck BACHTE-MARIA-LEERNE	NA	NA	0
2062603	Ooidonkweiden + Leie DEURLE	NA	NA	0
2062701	Kasteelvijver HUISE-LOZERE	NA	NA	0
2062901	Kasteelvijver NOKERE	NA	NA	0
2063003	Kasteelvijver WANNEGEM-LEDE	NA	NA	0
2063103	Lebeekvijver EINE (= containerpark)	NA	NA	0
2063104	Zevenputten EINE	NA	NA	0
2063302	Machelenput MACHELEN	NA	NA	0
2063401	Scheldemeersen EINE	NA	NA	0
2064201	Oude Leie GRAMMENE	NA	NA	0
2064301	Leie KORTRIJK - MENEN	NA	NA	0
2064401	Leie KORTRIJK-OOIGEM	NA	NA	0
2064402	Leie Ooigem - Sint-Elooisvijve (sas)	NA	NA	0
2064601	Kanaal KORTRIJK - BOSSUIT	NA	NA	0
2064902	Bovenschelde KERKHOVE - AVELGEM (Rugge)	2004-10-01	NA	0
2064903	Bovenschelde AVELGEM (Rugge) - SPIERE	2004-10-01	NA	0
2065702	Populierenhof DESSELGEM	NA	NA	0
